position,overall,name,nation,club,age
CAM,73,Aaron Molinas,Argentina,Tigre,23
CAM,70,Abdelhamid Sabiri,Morocco,Al Fayha,26
CAM,64,Abdoullah Ba,France,Sunderland,20
CAM,58,Abdulkarim Al Qahtani,Saudi Arabia,Al Wehda,30
CAM,66,Abdussalam Magashy,Nigeria,AIK,25
CAM,76,Adam Lallana,England,Brighton,35
CAM,73,Adam Vlkanova,Czech Republic,Viktoria Plzeň,29
CAM,71,Adama Traoré,Mali,Hull City,28
CAM,66,Adi Nalić,Bosnia and Herzegovina,Hammarby IF,25
CAM,56,Adriano Onyegbule,Germany,FC Basel 1893,17
CAM,65,Adrien Lebeau,France,Stade Brestois 29,24
CAM,70,Afonso Sousa,Portugal,Lech Poznań,23
CAM,71,Agustín Martegani,Argentina,Salernitana,23
CAM,60,Agustín Palavecino,Argentina,Estudiantes,20
CAM,61,Agustín Rodríguez,Argentina,Lanús,19
CAM,62,Agustín Vera,Uruguay,River Plate,19
CAM,63,Ahmed Bani,Romania,FC Dinamo 1948,21
CAM,58,Ahmed Qasem,Sweden,IF Elfsborg,20
CAM,73,Aketxe,Spain,SD Eibar,29
CAM,63,Alaa Bakir,Germany,MSV Duisburg,22
CAM,57,Alaín de Guzman,Bolivia,O. Petrolero,20
CAM,69,Alan Lescano,Argentina,Argentinos Jrs.,21
CAM,61,Alan Mariano Miño,Argentina,Belgrano,29
CAM,77,Alassane Plea,France,M'gladbach,30
CAM,71,Albert Grønbæk,Denmark,FK Bodø/Glimt,22
CAM,74,Albert Rusnák,Slovakia,Sounders FC,29
CAM,67,Albion Vrenezi,Kosovo,1860 München,30
CAM,68,Alessio Da Cruz,Cape Verde Islands,Feralpisalò,26
CAM,55,Alex Badolato,Australia,WS Wanderers,18
CAM,75,Álex Fernández,Spain,Cádiz CF,30
CAM,64,Alex Lowry,Scotland,Hearts,20
CAM,69,Alex Pritchard,England,Sunderland,30
CAM,70,Alexandru Băluță,Romania,FCSB,30
CAM,76,Alexandru Maxim,Romania,Gaziantep,33
CAM,67,Alexis Rodríguez,Argentina,Delfín S.C.,27
CAM,64,Alfie Devine,England,Port Vale,19
CAM,61,Ali Coote,Scotland,Bohemian FC,25
CAM,61,Ali Youssef,Tunisia,BK Häcken,23
CAM,64,Alin Roman,Romania,Politehnica Iași,29
CAM,60,Amadou Keita,Guinea,KAS Eupen,21
CAM,69,Amer Gojak,Bosnia and Herzegovina,Ferencvárosi TC,26
CAM,59,Amin Farouk,Germany,Wehen Wiesbaden,20
CAM,68,Amine Bassi,Morocco,Houston Dynamo,25
CAM,67,Amine Benchaib,Belgium,Farul Constanța,25
CAM,65,Anas Ouahim,Morocco,Heracles Almelo,26
CAM,73,André Franco,Portugal,FC Porto,25
CAM,64,André Ricardo,Portugal,PAOK FC,23
CAM,77,Andreas Pereira,Brazil,Fulham,27
CAM,71,Andreas Weimann,Austria,Bristol City,32
CAM,65,Andrei Ciobanu,Romania,Politehnica Iași,25
CAM,66,Andrej Fábry,Slovakia,UTA Arad,26
CAM,71,Andrés Andrade,Colombia,Alianza Lima,34
CAM,70,Andrés Ricaurte,Colombia,Indep. Medellín,32
CAM,64,Andrés Sánchez Duque,Ecuador,Delfín S.C.,27
CAM,65,Andrés Souper,Chile,Club Magallanes,24
CAM,71,Andrew Hjulsager,Denmark,KAA Gent,28
CAM,58,Andrew Moran,Republic of Ireland,Blackburn Rovers,19
CAM,76,Angel Gomes,England,LOSC Lille,23
CAM,68,Anouar Ait El Hadj,Belgium,KRC Genk,21
CAM,66,Anssi Suhonen,Finland,Hamburger SV,22
CAM,66,Ante Roguljić,Croatia,Univ. Craiova,27
CAM,65,Anthony Fontana,United States,PEC Zwolle,23
CAM,66,Anthony Kalik,Australia,Hajduk Split,25
CAM,63,Anton Tsarenko,Ukraine,Dynamo Kyiv,19
CAM,63,Antoni Milambo,Holland,Feyenoord,18
CAM,67,Antonio Marin,Croatia,Dinamo Zagreb,22
CAM,77,Arda Güler,Turkey,Real Madrid,18
CAM,60,Arijon Ibrahimović,Germany,Frosinone,17
CAM,69,Arnau Puigmal,Spain,UD Almería,22
CAM,69,Arribas,Spain,UD Almería,22
CAM,75,Artem Bondarenko,Ukraine,Shakhtar Donetsk,23
CAM,61,Arthur Atta,France,FC Metz,20
CAM,67,Ataru Esaka,Japan,Ulsan Hyundai,31
CAM,65,Atomu Tanaka,Japan,HJK Helsinki,36
CAM,62,Augustine Boakye,Ghana,Wolfsberger AC,22
CAM,69,Auli Oliveros,Colombia,Águilas Doradas,22
CAM,64,Ayanda Sishuba,Belgium,RC Lens,18
CAM,61,Ayman Aourir,Morocco,Leverkusen,19
CAM,62,Ayman Benarous,England,Bristol City,20
CAM,71,Aymen Barkok,Morocco,1. FSV Mainz 05,25
CAM,63,Aziel Jackson,United States,St. Louis CITY SC,21
CAM,59,Barry Coffey,Republic of Ireland,Cork City,22
CAM,73,Bart Ramselaar,Holland,FC Utrecht,27
CAM,69,Bartosz Kapustka,Poland,Legia Warszawa,26
CAM,64,Ben Bender,United States,Charlotte FC,22
CAM,57,Ben McCormack,Republic of Ireland,St. Pats,20
CAM,61,Ben Old,New Zealand,Well. Phoenix,21
CAM,65,Ben Thompson,England,Stevenage,28
CAM,66,Ben Woodburn,Wales,Preston,23
CAM,64,Bence Dárdai,Germany,Hertha Berlin,17
CAM,65,Berkan Taz,Germany,SV Waldhof,24
CAM,55,Bertram Kvist,Denmark,Brøndby IF,18
CAM,66,Besar Halimi,Kosovo,Hallescher FC,28
CAM,57,Bilal Bafdili,Belgium,KV Mechelen,19
CAM,71,Bilal El Khannouss,Morocco,KRC Genk,19
CAM,66,Billy Bodin,Wales,Oxford United,31
CAM,65,Blair Spittal,Scotland,Motherwell,27
CAM,67,Blendi Idrizi,Kosovo,FC Schalke 04,25
CAM,65,Borja Herrera,Spain,East Bengal,30
CAM,68,Bozhidar Kraev,Bulgaria,Well. Phoenix,26
CAM,69,Bradley Dack,England,Sunderland,29
CAM,80,Brahim,Spain,Real Madrid,24
CAM,64,Brahima Diarra,France,Huddersfield,20
CAM,61,Branco Provoste,Chile,Ñublense,23
CAM,55,Brandon Khela,England,Birmingham City,18
CAM,72,Branimir Hrgota,Sweden,Fürth,30
CAM,74,Brenden Aaronson,United States,Union Berlin,22
CAM,88,Bruno Fernandes,Portugal,Manchester Utd,29
CAM,67,Bryan García,Ecuador,Independiente DV,22
CAM,66,Bryce Duke,United States,CF Montréal,22
CAM,62,Burak İnce,Turkey,Śląsk Wrocław,19
CAM,57,Callum Dolan,England,Fleetwood Town,23
CAM,72,Callum O'Hare,England,Coventry City,25
CAM,73,Calvin Stengs,Holland,Feyenoord,24
CAM,57,Cameron Congreve,Wales,Swansea City,19
CAM,57,Cameron Peupion,Australia,Cheltenham Town,21
CAM,64,Camiel Neghli,Algeria,Sparta Rotterdam,21
CAM,60,Cammy Smith,Scotland,Morecambe,28
CAM,63,Can Uzun,Turkey,1. FC Nürnberg,17
CAM,79,Carles Gil,Spain,New England,30
CAM,66,Carlo Boukhalfa,Germany,FC St. Pauli,24
CAM,73,Carlos Alcaraz,Argentina,Southampton,20
CAM,67,Carlos Arrua,Paraguay,Colón,26
CAM,70,Carlos Auzqui,Argentina,San Lorenzo,32
CAM,54,Carlos Gavilán,Paraguay,Gral. Caballero,20
CAM,70,Carlos Villanueva,Chile,Club Magallanes,37
CAM,67,Cassius Mailula,South Africa,Toronto FC,22
CAM,65,Cătălin Cîrjan,Romania,FC Rapid 1923,20
CAM,55,Caylan Vickers,England,Reading,18
CAM,66,Cebrail Makreckis,Latvia,Ferencvárosi TC,23
CAM,63,Cedric Harenbrock,Germany,Rot-Weiss Essen,25
CAM,71,César Falletti,Uruguay,Ternana,30
CAM,69,César Pinares,Chile,Uni. Católica,32
CAM,48,Chanso Horam,India,Mumbai City FC,21
