position,overall,name,nation,club,age
CAM,86,Jamal Musiala,Germany,FC Bayern München,20
CB,86,Matthijs de Ligt,Holland,FC Bayern München,24
CB,84,Kim Min Jae,Korea Republic,FC Bayern München,26
CDM,88,Joshua Kimmich,Germany,FC Bayern München,28
CF,81,Andrej Kramarić,Croatia,TSG Hoffenheim,32
CM,85,Leon Goretzka,Germany,FC Bayern München,28
CM,82,Granit Xhaka,Switzerland,Leverkusen,31
GK,87,Gregor Kobel,Switzerland,Borussia Dortmund,25
LB,83,Alphonso Davies,Canada,FC Bayern München,22
LM,85,Kingsley Coman,France,FC Bayern München,27
LW,75,Jakub Kamiński,Poland,VfL Wolfsburg,21
LWB,84,Grimaldo,Spain,Leverkusen,28
RB,82,Noussair Mazraoui,Morocco,FC Bayern München,25
RM,84,Leroy Sané,Germany,FC Bayern München,27
RW,78,Patrick Wimmer,Austria,VfL Wolfsburg,22
RWB,83,Jeremie Frimpong,Holland,Leverkusen,22
ST,90,Harry Kane,England,FC Bayern München,30
