position,overall,name,nation,club,age
CAM,80,Téji Savanier,France,Montpellier,31
CB,87,Marquinhos,Brazil,Paris SG,29
CB,84,Lucas Hernández,France,Paris SG,27
CDM,81,Danilo Pereira,Portugal,Paris SG,32
CF,77,Joaquín Correa,Argentina,OM,29
CM,81,Benjamin Bourigeaud,France,Stade Rennais FC,29
CM,81,Fabián Ruiz,Spain,Paris SG,27
GK,87,Gianluigi Donnarumma,Italy,Paris SG,24
LB,82,Nuno Mendes,Portugal,Paris SG,21
LM,81,Martin Terrier,France,Stade Rennais FC,26
LW,78,Adrien Thomasson,France,RC Lens,29
LWB,76,Deiver Machado,Colombia,RC Lens,30
RB,84,Achraf Hakimi,Morocco,Paris SG,24
RM,78,Junya Ito,Japan,Stade de Reims,30
RW,86,Ousmane Dembélé,France,Paris SG,26
RWB,81,Jonathan Clauss,France,OM,31
ST,91,Kylian Mbappé,France,Paris SG,24
