position,overall,name,nation,club,age
CAM,88,Bruno Fernandes,Portugal,Manchester Utd,29
CB,89,Rúben Dias,Portugal,Manchester City,26
CB,89,Virgil van Dijk,Holland,Liverpool,32
CDM,89,Casemiro,Brazil,Manchester Utd,31
CF,86,Christopher Nkunku,France,Chelsea,25
CM,91,Kevin De Bruyne,Belgium,Manchester City,32
CM,88,Bernardo Silva,Portugal,Manchester City,29
GK,89,Alisson,Brazil,Liverpool,31
LB,86,Andrew Robertson,Scotland,Liverpool,29
LM,80,Kaoru Mitoma,Japan,Brighton,26
LW,87,Heung Min Son,Korea Republic,Spurs,31
LWB,74,Ryan Giles,England,Luton Town,23
RB,86,Trent Alexander-Arnold,England,Liverpool,25
RM,84,Moussa Diaby,France,Aston Villa,24
RW,89,Mohamed Salah,Egypt,Liverpool,31
RWB,73,Issa Kaboré,Burkina Faso,Luton Town,22
ST,91,Erling Haaland,Norway,Manchester City,23
