position,overall,name,nation,club,age
CAM,83,Lorenzo Pellegrini,Italy,Roma FC,27
CB,85,Alessandro Bastoni,Italy,Inter,24
CB,84,Bremer,Brazil,Juventus,26
CDM,84,Ismaël Bennacer,Algeria,Milan,25
CF,86,Paulo Dybala,Argentina,Roma FC,29
CM,86,Nicolò Barella,Italy,Inter,26
CM,85,Hakan Çalhanoğlu,Turkey,Inter,29
GK,87,Mike Maignan,France,Milan,28
LB,85,Theo Hernández,France,Milan,26
LM,84,Federico Chiesa,Italy,Juventus,25
LW,86,Khvicha Kvaratskhelia,Georgia,Napoli FC,22
LWB,82,Federico Dimarco,Italy,Inter,25
RB,85,Giovanni Di Lorenzo,Italy,Napoli FC,30
RM,80,Juan Cuadrado,Colombia,Inter,35
RW,85,Domenico Berardi,Italy,Sassuolo,29
RWB,81,Denzel Dumfries,Holland,Inter,27
ST,88,Victor Osimhen,Nigeria,Napoli FC,24
